IAJD,field,old,new,evidence
36,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
44,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
45,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
38,pKa,6.32,6.38,SI formula match (Tables S12-S17 / MALDI)
45,pKa,5.97,5.93,SI formula match (Tables S12-S17 / MALDI)
47,pKa,6.64,6.59,SI formula match (Tables S12-S17 / MALDI)
1,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
2,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
3,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
4,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
6,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
7,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
8,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
19,SMILES,CCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c%20,CCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
20,SMILES,CCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c%20,CCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
21,SMILES,CCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c%20,CCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
22,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
23,SMILES,CC(CC)CCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(CC)CCCC)c%20,CCCCC(CC)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCC(C)CC)c1,SI formula match (Tables S12-S17 / MALDI)
25,SMILES,CC(C)CCCC(C)COc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c%20,CC(C)CCCC(C)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c1,SI formula match (Tables S12-S17 / MALDI)
34,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
35,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
36,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
44,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
45,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
38,pKa,6.32,6.38,SI formula match (Tables S12-S17 / MALDI)
45,pKa,5.97,5.93,SI formula match (Tables S12-S17 / MALDI)
47,pKa,6.64,6.59,SI formula match (Tables S12-S17 / MALDI)
266,pKa,6.52,6.54,pharmaceutics Table S1
268,pKa,6.5,6.45,pharmaceutics Table S1
92,source,,ja3c07337,ja3c07337 Table S1 lists this IAJD
100,source,,ja3c07337,ja3c07337 Table S1 lists this IAJD
101,source,,ja3c07337,ja3c07337 Table S1 lists this IAJD
287,SMILES_flag,identical within pair,distinct in ja3c07337 Table S1,pKa differs: 287=6.30/292=6.48; 290=6.50/291=6.42
290,SMILES_flag,identical within pair,distinct in ja3c07337 Table S1,pKa differs: 287=6.30/292=6.48; 290=6.50/291=6.42
291,SMILES_flag,identical within pair,distinct in ja3c07337 Table S1,pKa differs: 287=6.30/292=6.48; 290=6.50/291=6.42
292,SMILES_flag,identical within pair,distinct in ja3c07337 Table S1,pKa differs: 287=6.30/292=6.48; 290=6.50/291=6.42
248,SMILES_bioact,HPRZ/ethoxyethyl(bioact),"MPRZ(pKa-file,grid-consistent)",self-consistency; confirm vs ja3c07337/ja3c13569
273,SMILES_bioact,HPRZ/ethoxyethyl(bioact),"MPRZ(pKa-file,grid-consistent)",self-consistency; confirm vs ja3c07337/ja3c13569
297,SMILES_bioact,HPRZ/ethoxyethyl(bioact),"MPRZ(pKa-file,grid-consistent)",self-consistency; confirm vs ja3c07337/ja3c13569
10,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
11,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c2)COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c2)c1,SI formula validated (Scheme S5/S9)
12,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
13,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
14,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
15,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
