IAJD,file,conf,status,smiles_changed,old_smiles,new_smiles,old_status,evidence,exclude
41,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
42,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
43,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
47,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"pKa_corrected_vs_SI_avg; UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE fr","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
48,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCC)cc(OCCCCCCCC)c3)cc(OCCCCCCCC)c%20,CCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCC)cc(OCCCCCCCC)c3)cc(OCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
49,pKa,MED,RESOLVED_SERIES_ARCH,False,CC(C)CCCC(C)COc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c3)cc(OCC(C)CCCC(C)C)c%20,CC(C)CCCC(C)COc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c3)cc(OCC(C)CCCC(C)C)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
50,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
51,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
53,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
54,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOCCOC(=O)CCCN1CCCCC1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOCCOC(=O)CCCN1CCCCC1)c2)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
64,pKa,HIGH,RESOLVED_10118_FIX,True,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)CCCN(C)C)cc(OCCCCCCCCCCCC)c1,FLAG_10118_disagree:10118 lighter by ~55/-1 HBA; ja1c09585 primary is image-only - chain/head unverified,"TPSA48.0 = 2 ethers+1 ester+ONE tert-amine => head is DMA (dimethylamino), not MPRZ; bis-C12 dialkoxybenzyl 4-(dimethylamino)butanoate = C37H67NO4 = exact 10118 #64 (MW589.946,HBA5,HBD0,Ar1,RotB30). MPRZ->DMA.",False
86,pKa,HIGH,RESOLVED_10118_FIX,True,CCCCCCCCCCCOc%20cc(COC(=O)CCCN1CCN(C)CC1)cc(OCCCCCCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,FLAG_10118_disagree:10118 lighter by ~70 (~5 CH2); ja1c09585 image-only - asymmetric chain length unverified,"bis-C11 (symmetric) = C38H68N2O4 = exact 10118 #86 (MW616.972,HBA6,RotB28); prior C11/C16 was +70 (5xCH2) too heavy. C16->C11.",False
134,pKa,MED-HIGH,RESOLVED_NUMBERING_COLLISION,False,CCCCCCCCCCCOc%20cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc%20cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCC)c%20,"FLAG_10118_disagree:10118 has a different (twin, ~2x mass) structure for this number - identity/numbering unclear; not i","10118 #134 is an unrelated ~2x-mass compound (MW1205.7,HBA17,Ar2) - numbering collision. This row = bis-C11 3,5-dialkoxybenzyl-amide-piperidine (C38H68N2O3) from pharmaceutics1501572 Fig11; internally + architecture consistent. Validated vs source paper, NOT vs 10118.",False
248,pKa,HIGH,CONFIRMED_10118,False,C(COCCCCCCCC)(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,C(COCCCCCCCC)(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,cross_file_head_conflict_resolved_to_this_value_CONFIRM_VS_PAPER; features_FILLED_RDKit2D+3D,"matches 10118 #248 exactly; HBA7/HBD0 => head is MPRZ (N-methylpiperazine), not HPRZ",False
273,pKa,HIGH,CONFIRMED_10118,False,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,cross_file_head_conflict_resolved_to_this_value_CONFIRM_VS_PAPER; SMILES_RECONSTRUCTED:10118-vector-resolved: C12+methox,"matches 10118 #273 (MW867.44, HBA8/HBD0); head = methoxyethyl-piperazine (HBD0 rules out HPRZ/EEPRZ)",False
287,pKa,HIGH,CONFIRMED_10118,False,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,SMILES_ERROR_distinct_paper_compound_collapsed_to_shared_SMILES_NEEDS_DIFFERENTIATION; SMILES_RECONSTRUCTED:10118-vector,matches 10118 #287 on 5/6 (MW/HBA/HBD/Ar/FCsp3 exact; RotB 37 vs 34 = known rotatable-bond definition diff); C8-tris+pentanoate+MeOEtPRZ,False
290,pKa,HIGH,CONFIRMED_10118,False,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,SMILES_ERROR_distinct_paper_compound_collapsed_to_shared_SMILES_NEEDS_DIFFERENTIATION; features_FILLED_RDKit2D+3D,"matches 10118 #290 (MW629.0, HBA8/HBD1); head = HPRZ (hydroxyethyl-piperazine), butanoate",False
291,pKa,HIGH,CONFIRMED_10118,False,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,SMILES_ERROR_distinct_paper_compound_collapsed_to_shared_SMILES_NEEDS_DIFFERENTIATION; SMILES_RECONSTRUCTED:10118-vector,"matches 10118 #291 (MW657.0, HBA8/HBD0); HBD0 => head is methoxyethyl-piperazine, not HPRZ; pentanoate",False
292,pKa,HIGH,CONFIRMED_10118,False,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,SMILES_ERROR_distinct_paper_compound_collapsed_to_shared_SMILES_NEEDS_DIFFERENTIATION; features_FILLED_RDKit2D+3D,"matches 10118 #292 (MW673.0, HBA9/HBD1); head = hydroxyethoxyethyl-piperazine (H2EPRZ)",False
297,pKa,HIGH,CONFIRMED_10118,False,CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(CCO)CC2)cc1OCC(CC)CCCC,CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(CCO)CC2)cc1OCC(CC)CCCC,cross_file_head_conflict_resolved_to_this_value_CONFIRM_VS_PAPER; SMILES_RECONSTRUCTED:head=HPRZ (10118 HBD=1 confirms b,"matches 10118 #297 (MW562.84, HBA7/HBD1); HBD1 confirms HPRZ head; 3,4-bis(2-ethylhexyloxy)benzoate",False
