iajd_num,family,pka,smiles,smiles_canonical,ExactMolWt,NumNitrogens,NumEsters,NumEthers,source,confidence,notes,error
68,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(CNC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CNC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,657.5808,3,0,0,ja1c09585,MEDIUM,sSS-C12-5C-MPRZ-amide,
69,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,673.5758,3,0,0,ja1c09585,MEDIUM,sSS-C12-4C-HPRZ-amide,
73,sSS-Nonsym,6.3,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,699.6278,3,0,0,pharmaceutics,MEDIUM,sSS-C14-4C-MPRZ-amide from pharmaceutics,
80,GA-Tris,,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,858.7425,2,1,1,ja1c09585,MEDIUM,GA-tris-C12-4C-HPRZ,
84,PE-Tris,,C(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,794.7476,2,1,4,ja1c09585,MEDIUM,PE-tris-C12-3C-MPRZ,
102,PE-Tris,,C(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,CCCCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,1061.0449,2,1,4,ja1c09585,LOW,PE-tris-C18-4C-MPRZ,
103,PE-Tris,,C(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,CCCCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,1091.0555,2,1,4,ja1c09585,LOW,PE-tris-C18-4C-HPRZ,
104,PE-Tris,,C(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,962.9354,2,1,4,ja1c09585,LOW,PE-tris-C16-3C-MPRZ,
132,G1-Janus-Dendrimer,,CCCCCCCCCCCOc4cc(COC(=O)c5cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCC)c4,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,1211.7696,1,3,9,ja2c00273,LOW,G1-Janus dendrimer variant,
160,G1-Janus-Dendrimer,,CCCCCCCCCCCOc4cc(CNC(=O)c5cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCC)c4,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,1205.8277,3,2,8,ja2c00273,LOW,G1-Janus dendrimer amide variant,
252,PE-Tris,,C(COCCCCCCCCCCC)(COCCCCCCCCCCC)(COCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCCCOCC(COCCCCCCCCCCC)(COCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,840.7531,2,1,5,ja3c07337,MEDIUM,PE-tris-C11-4C-H2EPRZ,
256,PE-Tris,,C(COCCCCCCCCC)(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,756.6592,2,1,5,ja3c07337,MEDIUM,PE-tris-C9-4C-H2EPRZ,
259,PE-Tris,,C(COCCCCCCCCCC)(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,798.7061,2,1,5,ja3c07337,MEDIUM,PE-tris-C10-4C-H2EPRZ,
261,PE-Tris,,C(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,966.8939,2,1,5,ja3c07337,MEDIUM,PE-tris-C14-4C-H2EPRZ,
281,PE-Tris,,C(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCCCCCOCC(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,924.847,2,1,5,ja3c07337,MEDIUM,PE-tris-C13-4C-H2EPRZ,
286,PE-Tris,,C(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,1008.9409,2,1,5,ja3c07337,MEDIUM,PE-tris-C15-4C-H2EPRZ,
293,PE-Tris,,C(COCCCCCC)(COCCCCCC)(COCCCCCC)COC(=O)CCCN1CCN(C)CC1,CCCCCCOCC(COCCCCCC)(COCCCCCC)COC(=O)CCCN1CCN(C)CC1,556.4815,2,1,4,ja3c07337,MEDIUM,PE-tris-C6-4C-MPRZ,
295,Dialkoxybenzyl,,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCC(CC)C)c1,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCC(C)CC)c1,562.4346,2,1,1,ja3c13569,MEDIUM,Dialkoxybenz-35-EH-4C-HPRZ,
296,Dialkoxybenzyl,,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(C)CC2)cc1OCCCCC(CC)C,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(C)CC2)cc1OCCCCC(C)CC,532.424,2,1,1,ja3c13569,MEDIUM,Dialkoxybenz-34-EH-4C-MPRZ,
298,Dialkoxybenzyl,,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(CCO)CC2)cc1OCCCCC(CC)C,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(CCO)CC2)cc1OCCCCC(C)CC,562.4346,2,1,1,ja3c13569,MEDIUM,Dialkoxybenz-34-EH-4C-HPRZ,
304,GA-Tris,,CCCCC(CC)COc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,CCCCC(CC)COc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,646.5285,2,1,1,ja3c13569,MEDIUM,GA-tris-EH-3C-MPRZ,
306,GA-Tris,,CCCCC(CC)COc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,CCCCC(CC)COc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,674.5598,2,1,1,ja3c13569,MEDIUM,GA-tris-EH-5C-MPRZ,
307,GA-Tris,,CCCCC(CC)COc1cc(COC(=O)CN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,CCCCC(CC)COc1cc(COC(=O)CN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,632.5128,2,1,1,ja3c13569,LOW,GA-tris-EH-2C-MPRZ,
316,GA-Tris,,CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,659.5601,3,0,0,bm4c01599,MEDIUM,GA-tris-EH-4C-MPRZ-amide,
