iajd_num,smiles_canonical,family,ExactMolWt,NumNitrogens,source,confidence,notes
72,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,sSS-Nonsym,688.5754,2,ja1c09585,MEDIUM,sSS-C12-5C-HPRZ
80,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,GA-Tris,858.7425,2,ja1c09585,MEDIUM,GA-tris-C12-4C-HPRZ
84,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,794.7476,2,ja1c09585,MEDIUM,PE-tris-C12-3C-MPRZ
90,CCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,sSS-Nonsym,532.424,2,pharmaceutics,MEDIUM,sSS-C8-4C-MPRZ
102,CCCCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,PE-Tris,1061.0449,2,ja1c09585,LOW,PE-tris-C18-4C-MPRZ
103,CCCCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,PE-Tris,1091.0555,2,ja1c09585,LOW,PE-tris-C18-4C-HPRZ
104,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,962.9354,2,ja1c09585,LOW,PE-tris-C16-3C-MPRZ
132,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,G1-Janus-Dendrimer,1250.838,2,ja2c00273,LOW,G1-Janus C12 DMBA variant
160,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,G1-Janus-Dendrimer,1334.9067,4,ja2c00273,LOW,G1-Janus C11 triple-DMBA amide
252,CCCCCCCCCCCOCC(COCCCCCCCCCCC)(COCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,840.7531,2,ja3c07337,MEDIUM,PE-tris-C11-4C-H2EPRZ
256,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,756.6592,2,ja3c07337,MEDIUM,PE-tris-C9-4C-H2EPRZ
259,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,798.7061,2,ja3c07337,MEDIUM,PE-tris-C10-4C-H2EPRZ
261,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,966.8939,2,ja3c07337,MEDIUM,PE-tris-C14-4C-H2EPRZ
281,CCCCCCCCCCCCCOCC(COCCCCCCCCCCCCC)(COCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,924.847,2,ja3c07337,MEDIUM,PE-tris-C13-4C-H2EPRZ
286,CCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,PE-Tris,1008.9409,2,ja3c07337,MEDIUM,PE-tris-C15-4C-H2EPRZ
293,CCCCCCOCC(COCCCCCC)(COCCCCCC)COC(=O)CCCN1CCN(C)CC1,PE-Tris,556.4815,2,ja3c07337,MEDIUM,PE-tris-C6-4C-MPRZ
295,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCC(C)CC)c1,Dialkoxybenzyl,562.4346,2,ja3c13569,MEDIUM,Dialkoxybenz-35-EH-4C-HPRZ
296,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(C)CC2)cc1OCCCCC(C)CC,Dialkoxybenzyl,532.424,2,ja3c13569,MEDIUM,Dialkoxybenz-34-EH-4C-MPRZ
298,CCCCC(CC)COc1ccc(COC(=O)CCCN2CCN(CCO)CC2)cc1OCCCCC(C)CC,Dialkoxybenzyl,562.4346,2,ja3c13569,MEDIUM,Dialkoxybenz-34-EH-4C-HPRZ
304,CCCCC(CC)COc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,646.5285,2,ja3c13569,MEDIUM,GA-tris-EH-3C-MPRZ-ester
306,CCCCC(CC)COc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,674.5598,2,ja3c13569,MEDIUM,GA-tris-EH-5C-MPRZ-ester
307,CCCCC(CC)COc1cc(COC(=O)CN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,632.5128,2,ja3c13569,MEDIUM,GA-tris-EH-2C-MPRZ-ester
316,CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,659.5601,3,bm4c01599,MEDIUM,GA-tris-EH-4C-MPRZ-amide
55,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)ccc1OCCCCCCCCC,sSS-Nonsym,588.4866,2,reconstructed_v2,LOW,sSS-34-C9/C11-3C-MPRZ-ester
56,CCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,sSS-Nonsym,587.5026,3,reconstructed_v2,LOW,sSS-35-C9/C11-3C-MPRZ-amide
57,CCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)ccc1OCCCCCCCCC,sSS-Nonsym,587.5026,3,reconstructed_v2,LOW,sSS-34-C9/C11-3C-MPRZ-amide
58,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)ccc1OCCCCCCCCC,sSS-Nonsym,618.4972,2,reconstructed_v2,LOW,sSS-34-C9/C11-3C-HPRZ-ester
94,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,626.5598,2,reconstructed_v2,LOW,PE-tris-EH-3C-MPRZ
109,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCCCCC)c1,sSS-Nonsym,685.6009,1,reconstructed_v2,LOW,sSS-C14/C14-4C-PIP
254,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,668.6067,2,reconstructed_v2,LOW,PE-tris-C9-3C-MPRZ
255,CCCCCCCCCOCC(COCCCCCCCCC)(COCCCCCCCCC)COC(=O)CCN1CCN(CCO)CC1,PE-Tris,698.6173,2,reconstructed_v2,LOW,PE-tris-C9-3C-HPRZ
257,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,710.6537,2,reconstructed_v2,LOW,PE-tris-C10-3C-MPRZ
258,CCCCCCCCCCOCC(COCCCCCCCCCC)(COCCCCCCCCCC)COC(=O)CCN1CCN(CCO)CC1,PE-Tris,740.6642,2,reconstructed_v2,LOW,PE-tris-C10-3C-HPRZ
260,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCC)COC(=O)CCN1CCN(CCO)CC1,PE-Tris,908.852,2,reconstructed_v2,LOW,PE-tris-C14-3C-HPRZ
262,CCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCC)COC(=O)CCN1CCN(C)CC1,PE-Tris,920.8884,2,reconstructed_v2,LOW,PE-tris-C15-3C-MPRZ
315,CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,733.5969,3,reconstructed_v2,LOW,GA-tris-EH-4C-H2EPRZ-amide
327,CCCCC(CC)COc1cc(CNC(=O)CN2CCN(CCOCCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,705.5656,3,reconstructed_v2,LOW,GA-tris-EH-2C-H2EPRZ-amide
328,CCCCC(CC)COc1cc(CNC(=O)CN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,GA-Tris,631.5288,3,reconstructed_v2,LOW,GA-tris-EH-2C-MPRZ-amide
195,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCCCC2)cc(OCCCCCCCC)c1,sSS-Nonsym,657.5696,1,reconstructed_v3,LOW,nsSS-C18/C8-4C-PIP
196,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCCCC2)cc(OCCCCCCCCC)c1,sSS-Nonsym,671.5853,1,reconstructed_v3,LOW,nsSS-C18/C9-4C-PIP
302,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCOCCO)CC2)cc(OCCCCCCCCCC)c1OCCCCCCCCCC,GA-Tris,818.6748,2,reconstructed_v3,LOW,GA-tris-C10-4C-H2EPRZ
303,CCCCCCCCCCOc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1OCCCCCCCCCC,GA-Tris,730.6224,2,reconstructed_v3,LOW,GA-tris-C10-3C-MPRZ
305,CCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1OCCCCCCCCCC,GA-Tris,758.6537,2,reconstructed_v3,LOW,GA-tris-C10-5C-MPRZ
85,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)ccc1OCCCCCCCCCCC,Dialkoxybenzyl,688.5754,2,reconstructed_v3,LOW,Dialkoxybenz-34-C11/C14-4C-HPRZ
